,e0,e-1,e-2,e-3,e-4,e-5,e-6,e-7,e-8,e-9,e-10,e-100
n_cells,100.0,94.86,87.79,81.66,74.73,68.45,62.1,56.53,50.68,45.47,41.4,20.91
0,100.0,92.86,83.93,75.89,63.39,53.57,43.3,34.82,29.02,26.79,24.11,5.8
1,100.0,100.0,97.67,97.67,94.57,93.02,91.47,89.92,89.15,86.82,84.5,72.87
2,100.0,98.85,96.55,93.33,88.05,82.76,77.47,70.11,61.84,53.33,46.67,11.26
3,100.0,95.1,86.01,81.12,74.83,69.93,60.84,56.64,51.05,42.66,37.76,21.68
4,100.0,98.86,97.71,96.0,95.43,93.71,93.14,90.86,86.86,83.43,79.43,59.43
5,100.0,88.59,70.47,53.69,42.28,32.21,22.82,18.12,12.08,8.72,6.04,0.67
6,100.0,79.73,64.86,50.0,41.89,33.78,24.32,16.22,8.11,5.41,5.41,
7,100.0,86.11,68.06,56.94,44.44,30.56,22.22,19.44,16.67,12.5,11.11,1.39
