,0,1,2,3,4
0.0,0.16833093492828446,0.25713275012915027,0.46041820316201937,1.0,0.0
0.005,0.3207066385008114,0.496650981541501,0.8909041895314882,0.5168124558189398,1.44593652306206e-16
0.01,0.3207066385008114,0.496650981541501,0.8909041895314882,0.5168124558189398,1.44593652306206e-16
0.015,0.3207066385008114,0.496650981541501,0.8909041895314882,0.5168124558189398,1.44593652306206e-16
0.02,0.3207066385008114,0.496650981541501,0.8909041895314882,0.5168124558189398,1.44593652306206e-16
0.025,0.34074562172633205,0.5333450942195579,0.8907273147959685,0.4802033333390497,2.885614195369264e-16
0.03,0.34074562172633205,0.5333450942195579,0.8907273147959685,0.4802033333390497,2.885614195369264e-16
0.035,0.3775081656230242,0.5938531946593032,0.9363453448359561,0.43107549001378387,6.222598711944356e-16
0.04,0.3775081656230242,0.5938531946593032,0.9363453448359561,0.43107549001378387,6.222598711944356e-16
0.045,0.3775081656230242,0.5938531946593032,0.9363453448359561,0.43107549001378387,6.222598711944356e-16
0.05,0.3775081656230242,0.5938531946593032,0.9363453448359561,0.43107549001378387,6.222598711944356e-16
0.055,0.3775081656230242,0.5938531946593032,0.9363453448359561,0.43107549001378387,6.222598711944356e-16
0.06,0.3775081656230242,0.5938531946593032,0.9363453448359561,0.43107549001378387,6.222598711944356e-16
0.065,0.3775081656230242,0.5938531946593032,0.9363453448359561,0.43107549001378387,6.222598711944356e-16
0.07,0.3775081656230242,0.5938531946593032,0.9363453448359561,0.43107549001378387,6.222598711944356e-16
0.075,0.3775081656230242,0.5938531946593032,0.9363453448359561,0.43107549001378387,6.222598711944356e-16
0.08,0.3775081656230242,0.5938531946593032,0.9363453448359561,0.43107549001378387,6.222598711944356e-16
0.085,0.3775081656230242,0.5938531946593032,0.9363453448359561,0.43107549001378387,6.222598711944356e-16
0.09,0.3775081656230242,0.5938531946593032,0.9363453448359561,0.43107549001378387,6.222598711944356e-16
0.095,0.3775081656230242,0.5938531946593032,0.9363453448359561,0.43107549001378387,6.222598711944356e-16
0.1,0.3775081656230242,0.5938531946593032,0.9363453448359561,0.43107549001378387,6.222598711944356e-16
0.105,0.3775081656230242,0.5938531946593032,0.9363453448359561,0.43107549001378387,6.222598711944356e-16
0.11,0.3775081656230242,0.5938531946593032,0.9363453448359561,0.43107549001378387,6.222598711944356e-16
0.115,0.3775081656230242,0.5938531946593032,0.9363453448359561,0.43107549001378387,6.222598711944356e-16
0.12,0.3775081656230242,0.5938531946593032,0.9363453448359561,0.43107549001378387,6.222598711944356e-16
0.125,0.3775081656230242,0.5938531946593032,0.9363453448359561,0.43107549001378387,6.222598711944356e-16
0.13,0.3775081656230242,0.5938531946593032,0.9363453448359561,0.43107549001378387,6.222598711944356e-16
0.135,0.3775081656230242,0.5938531946593032,0.9363453448359561,0.43107549001378387,6.222598711944356e-16
0.14,0.3775081656230242,0.5938531946593032,0.9363453448359561,0.43107549001378387,6.222598711944356e-16
0.145,0.3775081656230242,0.5938531946593032,0.9363453448359561,0.43107549001378387,6.222598711944356e-16
0.15,0.3775081656230242,0.5938531946593032,0.9363453448359561,0.43107549001378387,6.222598711944356e-16
0.155,0.3775081656230242,0.5938531946593032,0.9363453448359561,0.43107549001378387,6.222598711944356e-16
0.16,0.3775081656230242,0.5938531946593032,0.9363453448359561,0.43107549001378387,6.222598711944356e-16
0.165,0.3775081656230242,0.5938531946593032,0.9363453448359561,0.43107549001378387,6.222598711944356e-16
0.17,0.3775081656230242,0.5938531946593032,0.9363453448359561,0.43107549001378387,6.222598711944356e-16
0.17500000000000002,0.3775081656230242,0.5938531946593032,0.9363453448359561,0.43107549001378387,6.222598711944356e-16
0.18,0.3775081656230242,0.5938531946593032,0.9363453448359561,0.43107549001378387,6.222598711944356e-16
0.185,0.3775081656230242,0.5938531946593032,0.9363453448359561,0.43107549001378387,6.222598711944356e-16
0.19,0.3775081656230242,0.5938531946593032,0.9363453448359561,0.43107549001378387,6.222598711944356e-16
0.195,0.37688462606341433,0.5924225210880774,0.9318258686068279,0.4307168860667215,6.563291004412697e-16
0.2,0.37688462606341433,0.5924225210880774,0.9318258686068279,0.4307168860667215,6.563291004412697e-16
0.20500000000000002,0.37688462606341433,0.5924225210880774,0.9318258686068279,0.4307168860667215,6.563291004412697e-16
0.21,0.37688462606341433,0.5924225210880774,0.9318258686068279,0.4307168860667215,6.563291004412697e-16
0.215,0.37688462606341433,0.5924225210880774,0.9318258686068279,0.4307168860667215,6.563291004412697e-16
0.22,0.37688462606341433,0.5924225210880774,0.9318258686068279,0.4307168860667215,6.563291004412697e-16
0.225,0.37688462606341433,0.5924225210880774,0.9318258686068279,0.4307168860667215,6.563291004412697e-16
0.23,0.37688462606341433,0.5924225210880774,0.9318258686068279,0.4307168860667215,6.563291004412697e-16
